$ kubectl -n fraud-platform get events --sort-by=.metadata.creationTimestamp
LAST SEEN   TYPE      REASON                         OBJECT                                    MESSAGE
2m7s        Normal    EnsuredLoadBalancer            service/transaction-api                   Ensured load balancer [lb-bp18asprexs9aymab9do9]
103s        Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/transaction-api   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
103s        Warning   FailedGetResourceMetric        horizontalpodautoscaler/transaction-api   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
14m         Normal    ScalingReplicaSet              deployment/transaction-api                Scaled up replica set transaction-api-6fdb975c76 from 0 to 1
14m         Normal    ScalingReplicaSet              deployment/fraud-processor                Scaled up replica set fraud-processor-7c5997f8b7 from 0 to 1
14m         Normal    ScalingReplicaSet              deployment/alert-handler                  Scaled up replica set alert-handler-65f7949bb7 from 0 to 1
14m         Normal    ScalingReplicaSet              deployment/transaction-api                Scaled down replica set transaction-api-6fdb975c76 from 1 to 0
14m         Normal    ScalingReplicaSet              deployment/fraud-processor                Scaled down replica set fraud-processor-7c5997f8b7 from 1 to 0
14m         Normal    ScalingReplicaSet              deployment/alert-handler                  Scaled down replica set alert-handler-65f7949bb7 from 1 to 0
60m         Normal    Pulling                        pod/transaction-api-6fdb975c76-6dqn8      Pulling image "registry.cn-hangzhou.aliyuncs.com/your-namespace/transaction-api:latest"
60m         Warning   Failed                         pod/transaction-api-6fdb975c76-6dqn8      Error: ErrImagePull
60m         Normal    SuccessfulCreate               replicaset/transaction-api-6fdb975c76     Created pod: transaction-api-6fdb975c76-6dqn8
60m         Normal    Scheduled                      pod/transaction-api-6fdb975c76-6dqn8      Successfully assigned fraud-platform/transaction-api-6fdb975c76-6dqn8 to cn-hangzhou.10.94.68.56
60m         Warning   Failed                         pod/transaction-api-6fdb975c76-6dqn8      Failed to pull image "registry.cn-hangzhou.aliyuncs.com/your-namespace/transaction-api:latest": failed to pull and unpack image "registry.cn-hangzhou.aliyuncs.com/your-namespace/transaction-api:latest": failed to resolve reference "registry.cn-hangzhou.aliyuncs.com/your-namespace/transaction-api:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
60m         Normal    AllocIPSucceed                 pod/transaction-api-6fdb975c76-6dqn8      Alloc IP 10.94.68.96/16 took 49.88396ms
60m         Warning   Failed                         pod/transaction-api-6fdb975c76-6dqn8      Error: ImagePullBackOff
60m         Normal    BackOff                        pod/transaction-api-6fdb975c76-6dqn8      Back-off pulling image "registry.cn-hangzhou.aliyuncs.com/your-namespace/transaction-api:latest"
60m         Warning   Failed                         pod/fraud-processor-7c5997f8b7-mb7sm      Error: ErrImagePull
60m         Warning   Failed                         pod/fraud-processor-7c5997f8b7-mb7sm      Failed to pull image "registry.cn-hangzhou.aliyuncs.com/your-namespace/fraud-processor:latest": failed to pull and unpack image "registry.cn-hangzhou.aliyuncs.com/your-namespace/fraud-processor:latest": failed to resolve reference "registry.cn-hangzhou.aliyuncs.com/your-namespace/fraud-processor:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
60m         Normal    Pulling                        pod/fraud-processor-7c5997f8b7-mb7sm      Pulling image "registry.cn-hangzhou.aliyuncs.com/your-namespace/fraud-processor:latest"
60m         Normal    AllocIPSucceed                 pod/fraud-processor-7c5997f8b7-mb7sm      Alloc IP 10.94.68.70/16 took 39.922163ms
60m         Normal    SuccessfulCreate               replicaset/fraud-processor-7c5997f8b7     Created pod: fraud-processor-7c5997f8b7-mb7sm
60m         Normal    Scheduled                      pod/fraud-processor-7c5997f8b7-mb7sm      Successfully assigned fraud-platform/fraud-processor-7c5997f8b7-mb7sm to cn-hangzhou.10.94.68.56
60m         Warning   Failed                         pod/fraud-processor-7c5997f8b7-mb7sm      Error: ImagePullBackOff
60m         Normal    BackOff                        pod/fraud-processor-7c5997f8b7-mb7sm      Back-off pulling image "registry.cn-hangzhou.aliyuncs.com/your-namespace/fraud-processor:latest"
60m         Normal    Scheduled                      pod/alert-handler-65f7949bb7-z7zmv        Successfully assigned fraud-platform/alert-handler-65f7949bb7-z7zmv to cn-hangzhou.10.94.68.55
60m         Warning   Failed                         pod/alert-handler-65f7949bb7-z7zmv        Error: ImagePullBackOff
60m         Normal    SuccessfulCreate               replicaset/alert-handler-65f7949bb7       Created pod: alert-handler-65f7949bb7-z7zmv
60m         Warning   Failed                         pod/alert-handler-65f7949bb7-z7zmv        Error: ErrImagePull
60m         Warning   Failed                         pod/alert-handler-65f7949bb7-z7zmv        Failed to pull image "registry.cn-hangzhou.aliyuncs.com/your-namespace/alert-handler:latest": failed to pull and unpack image "registry.cn-hangzhou.aliyuncs.com/your-namespace/alert-handler:latest": failed to resolve reference "registry.cn-hangzhou.aliyuncs.com/your-namespace/alert-handler:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
60m         Normal    Pulling                        pod/alert-handler-65f7949bb7-z7zmv        Pulling image "registry.cn-hangzhou.aliyuncs.com/your-namespace/alert-handler:latest"
60m         Normal    AllocIPSucceed                 pod/alert-handler-65f7949bb7-z7zmv        Alloc IP 10.94.68.66/16 took 42.24623ms
